brew_name,brew_loc,brew_tel,brew_des
Anheuser Busch,Saint Louis: Missouri: 63118-1849: United States,,
Pivovar Velke Popovice a.s.,Velke Popovice: 25169: Czech,,
Molson Coors Canada,Etobicoke: Ontario: M9W 5E5: Canada,,
Grupo Modelo S.A. de C.V.,Campos El seos #400: Colonia Lomas de Chapultepec: Mexico City: 11000: Mexico,,
Foster's Group Limited,77 Southbank Boulevard: Southbank: 3006: Australia,,
New Zealand Breweries Limited,New Zealand,,
South Pacific Brewery LTD,Spring Garden Rd: Port Moresby: Hohola NCD: 111: Papua New Guinea,,
Westbrook Brewing Co.,510 Ridge Rd: Mount Pleasant: South Carolina: 29464-7811: United States,,
Antarctica,Maria Coelho Aguiar: 215: Bloco F 6an: Sao Paulo - SP: 05804-900: Brazil,,
Spaten-Franziskaner-Brau,Mars Strasse 46-48: Munchen: 80335: Germany,,
Hofbrau Kaltenhausen,Postfach 108: Hallein: 5400: Austria,,
United Breweries,Bangalore: India,,
Miller Brewing Co.,3939 West Highland Boulevard: Milwaukee: Wisconsin: 53208: United States,,
Plzensky Prazdroj,U Prazdroje 7: Plzen: 304 97: Czech,,
Guinness Ltd.,St. James Gate: Dublin: Ireland,,
Heineken Nederland B.V.,PO Box 530: Zoeterwoude: 2380 BD: Netherlands,,
Al Ahram Beverages Company,2 Sarwat St: Giza: Egypt,,
Flying Dog Brewery,4607 Wedgewood Blvd: Frederick: Maryland: 21703: United States,,
Krombacher Brauerei,Hagener Strabe 261: Kreuztal-Krombach: 57223: Germany,,
Royal Unibrew A/S,Faxe Alle 1: Faxe: 4640: Denmark,,
Kaiserdom Privatbrauerei Bamberg,Breitackerstrabe 9: Bamberg: 96049: Germany,,
Guinness Ltd.,St. James Gate: Dublin: Ireland,,
Carlsberg Danmark A/S,Vesterfalledvej 100: Kobenhavn: 1799: Denmark,,
Oranjeboom Bierbrouwerij B. V.,Ceresstraat 13: Breda: 4811 CA: Netherlands,,
Asahi Breweries Ltd,23-1: Azumabashi 1-chome: Sumida-ku: Tokyo-to Tokyo-shi: 130-8602: Japan,,
Kirin Brewery Company Limited,10-1: Shinkawa 2-chome: Chuo-ku: Tokyo-to Tokyo-shi: 104-8288: Japan,,
Tsingtao Brewery Co. Ltd.,Hongkong Rd: Tsingtao Beer Tower: Qingdao: 266071: China,,
